,name,website
220,Community Partners Bancorp,https://www.businesswire.com
221,"First Bancshares, Inc., The",https://www.thefirstbank.com
222,Community Bankers Trust Corporation,http://www.snl.com
223,"Home Bancshares, Inc.",https://www.homebancshares.com
224,"New Century Bancorp, Inc.",https://www.newcenturybankna.com
225,"Porter Bancorp, Inc.",https://www.limestonebank.com
226,"Viewpoint Financial Group, Inc.",https://www.prnewswire.com
227,Citizens First Corporation,https://www.globenewswire.com
228,"Southern National Bancorp Of Virginia, Inc.",https://investors.sonabank.com
229,Stewardship Financial Corporation,http://www.snl.com
230,Discover Financial Services,https://www.discover.com
231,Meridian Bancorp Inc (Md),https://www.ebsb.com
232,"Midwestone Financial Group, Inc.",https://www.snl.com
233,"Bancorp Of New Jersey, Inc.",https://www.connectonebank.com
234,"Bridge Bancorp, Inc.",https://www.bnbbank.com
235,Dnb Financial Corporation,https://www.stbank.com
236,Oak Valley Bancorp,https://www.ovcb.com
237,"Orrstown Financial Services, Inc.",https://www.orrstown.com
238,Emclaire Financial Corp,https://www.emclairefinancial.com
239,"First Interstate Bancsystem, Inc.",https://www.firstinterstatebank.com
240,Acnb Corporation,https://www.acnb.com
241,"Bankunited, Inc.",https://www.bankunited.com
242,Ally Financial Inc,https://www.ally.com
243,State Bank Financial Corporation,https://www.businesswire.com
244,Farmers National Banc Corp.,https://farmersbankgroup.com
245,Lcnb Corp.,https://www.lcnb.com
246,Bsb Bancorp Inc.,https://www.prnewswire.com
247,Bank Of The James Financial,https://www.bloomberg.com
248,"Wellesley Bancorp, Inc.",https://wellesleybank.com
249,Howard Bancorp Inc,https://www.howardbank.com
250,"Sound Financial Bancorp, Inc.",https://www.soundcb.com
251,National Bank Holdings Corporation,https://www.nationalbankholdings.com
252,Chemung Financial Corp,https://www.chemungcanal.com
253,First Internet Bancorp,http://www.firstinternetbancorp.com
254,Independent Bk Grp Inc,https://www.independent-bank.com
255,Customers Bancorp Inc,https://www.customersbank.com
256,Tristate Capital Hldgs Inc,https://www.tristatecapitalbank.com
257,Community Financial Cp (The),http://www.communityfc.com
258,Peoples Financial Services,https://www.npbfinancialservices.com
259,Bankwell Financial Group Inc,https://www.mybankwell.com
260,First Mid Ill Bancshares Inc,https://www.firstmid.com
261,Servisfirst Bancshares Inc,http://www.servisfirstbank.com
262,Blue Hills Bancorp Inc,https://www.businesswire.com
263,Carolina Financial Corp,https://www.haveanicebank.com
264,Investar Holding Corp,https://www.investarbank.com
265,Fcb Financial Holdings Inc,https://www.synovus.com
266,Green Bancorp Inc,https://veritexbank.com
267,Citizens Financial Group Inc,https://www.mybanktracker.com
268,Middlefield Banc Corp,https://www.middlefieldbank.com
269,Cb Financial Services Inc,https://www.teamcbfinancialservices.com
270,Great Western Bancorp Inc,https://www.greatwesternbank.com
271,Entegra Financial Corp,https://www.entegrabank.com
272,"Melrose Bancorp, Inc.",https://www.melrosebank.com
273,Veritex Holdings Inc,https://veritexbank.com
274,First Foundation Inc,https://www.firstfoundationinc.com
275,Triumph Bancorp Inc,https://www.triumphbancorp.com
276,First Northwest Bancorp,https://www.ffnwb.com
277,County Bancorp Inc,https://www.investorscommunitybank.com
278,Franklin Finl Network Inc,https://www.businesswire.com
279,National Commerce Corp,https://www.prnewswire.com
280,Peoples Utah Bancorp,https://www.peoplesutah.com
281,Commerce Union Bancshares/Tn,https://www.reliantbank.com
282,Live Oak Bancshares Inc,https://www.liveoakbank.com
283,Provident Bancorp Inc,https://www.theprovidentbank.com
284,Atlantic Cap Bancshares Inc,https://atlanticcapitalbank.com
285,Allegiance Bancshares Inc,http://www.allegiancebank.com
286,Equity Bancshares Inc,https://www.equitybank.com
287,First Guaranty Bancshares,https://smartasset.com
288,Smartfinancial Inc,http://www.smartfinancialinc.com
289,Nicolet Bankshares Inc,https://www.nicoletbank.com
290,Midland States Bancorp,https://www.midlandsb.com
291,Harborone Bancorp Inc,https://www.harboronebancorp.com
292,"Fsb Bancorp, Inc.",https://www.fairportsavingsbank.com
293,"Randolph Bancorp, Inc.",http://www.randolphbancorp.com
294,"First Hawaiian, Inc.",https://www.fhb.com
295,Capstar Financial Hldgs Inc,https://www.capstarbank.com
296,Fb Financial Corp,https://investors.firstbankonline.com
297,Hometown Bankshares Corp,https://www.amnb.com
298,Pcsb Financial Corp,https://www.pcsb.com
299,Farmers & Merchants Bcp/Oh,https://www.bankwithfm.com
300,Byline Bancorp Inc,http://www.bylinebancorp.com
301,Rbb Bancorp,https://www.royalbusinessbankusa.com
302,Cambridge Bancorp,https://www.cambridgetrust.com
303,Fidelity D & D Bancorp Inc,https://www.bankatfidelity.com
304,Merchants Bancorp,https://www.merchantsbankofindiana.com
305,Cbtx Inc,https://www.communitybankoftx.com
306,Luther Burbank Corp,https://www.lutherburbanksavings.com
307,Mvb Financial Corp,https://mvbbanking.com
308,Bridgewater Bancshares,https://bridgewaterbankmn.com
309,Fncb Bancorp Inc,https://www.fncb.com
310,Business First Bancshs Inc,https://www.b1bank.com
311,Level One Bancorp Inc,https://www.levelonebank.com
312,Origin Bancorp,https://www.marketbeat.com
313,Coastal Financial Corp,https://www.coastalbank.com
314,First Wstrn Finncil Inc,https://myfw.gcs-web.com
315,Amalgamated Bk New York N Y,https://www.amalgamatedbank.com
316,Amerant Bancorp Inc,https://www.amerantbank.com
317,Pacific City Financial Corp,https://www.spglobal.com
318,Bank7 Corp,https://www.bank7.com
319,Capital Bancorp Inc,https://capitalbankmd.com
320,Bank First National Corp,http://www.bankfirstnational.com
